Year,Prop Number,Title,Prop Desc,Opposing $,Supporting $,No Percentage,Yes Percentage,Pass?,opposing_usd,supporting_usd,total_usd,passed,combined_text,prop_id,main_category,topic_type
1980,8,Alternative Energy Sources Facilities Financing.,"ALTERNATIVE ENERGY SOURCES FACILITIES FINANCING. LEGISLATIVE CONSTITUTIONAL AMENDMENT. Authorizes Legislature to provide for the issuance of revenue bonds to finance the acquisition, construction, and installation of alternative energy source facilities and for the lease or sale of such facilities to persons, associations, or corporations, other than municipal corporations. Provides that such revenue bonds shall not be secured by the taxing power of the state. Provides that the Legislature may, by resolution adopted by either house, prohibit or limit any proposed issuance of such bonds. Provides measure does not authorize any public agency to operate industrial or commercial enterprises. Fiscal impact on state or local governments: No direct fiscal effect. If revenue bonds are authorized in future by Legislature, indirect fiscal effects could possibly be increase in state and local bond interest costs, loss of state income tax revenues to the extent the bonds displace private financing, and increases in revenue from increased economic activity.",,,49.81,50.19,1.0,,,,1,"alternative energy sources facilities financing. alternative energy sources facilities financing. legislative constitutional amendment. authorizes legislature to provide for the issuance of revenue bonds to finance the acquisition, construction, and installation of alternative energy source facilities and for the lease or sale of such facilities to persons, associations, or corporations, other than municipal corporations. provides that such revenue bonds shall not be secured by the taxing power of the state. provides that the legislature may, by resolution adopted by either house, prohibit or limit any proposed issuance of such bonds. provides measure does not authorize any public agency to operate industrial or commercial enterprises. fiscal impact on state or local governments: no direct fiscal effect. if revenue bonds are authorized in future by legislature, indirect fiscal effects could possibly be increase in state and local bond interest costs, loss of state income tax revenues to the extent the bonds displace private financing, and increases in revenue from increased economic activity.",1980_Prop_8,Bonds,Energy
1980,8,Alternative Energy Sources Facilities Financing.,"ALTERNATIVE ENERGY SOURCES FACILITIES FINANCING. LEGISLATIVE CONSTITUTIONAL AMENDMENT. Authorizes Legislature to provide for the issuance of revenue bonds to finance the acquisition, construction, and installation of alternative energy source facilities and for the lease or sale of such facilities to persons, associations, or corporations, other than municipal corporations. Provides that such revenue bonds shall not be secured by the taxing power of the state. Provides that the Legislature may, by resolution adopted by either house, prohibit or limit any proposed issuance of such bonds. Provides measure does not authorize any public agency to operate industrial or commercial enterprises. Fiscal impact on state or local governments: No direct fiscal effect. If revenue bonds are authorized in future by Legislature, indirect fiscal effects could possibly be increase in state and local bond interest costs, loss of state income tax revenues to the extent the bonds displace private financing, and increases in revenue from increased economic activity.",,,49.81,50.19,1.0,,,,1,"alternative energy sources facilities financing. alternative energy sources facilities financing. legislative constitutional amendment. authorizes legislature to provide for the issuance of revenue bonds to finance the acquisition, construction, and installation of alternative energy source facilities and for the lease or sale of such facilities to persons, associations, or corporations, other than municipal corporations. provides that such revenue bonds shall not be secured by the taxing power of the state. provides that the legislature may, by resolution adopted by either house, prohibit or limit any proposed issuance of such bonds. provides measure does not authorize any public agency to operate industrial or commercial enterprises. fiscal impact on state or local governments: no direct fiscal effect. if revenue bonds are authorized in future by legislature, indirect fiscal effects could possibly be increase in state and local bond interest costs, loss of state income tax revenues to the extent the bonds displace private financing, and increases in revenue from increased economic activity.",1980_Prop_8,Governance,Funding/Finance
1980,9,Taxation. Income. Initiative Constitutional Amendment.,"TAXATION. INCOME. INITIATIVE CONSTITUTIONAL AMENDMENT. Adds Section 26.5 to Article XIII of the Constitution to provide that taxes on or measured by income which are imposed under the Personal Income Tax Law or successor law shall not exceed 50 percent of those rates in effect for the 1978 taxable year. Requires the Legislature to provide a system for adjusting personal income tax brackets to reflect annual changes in the California Consumer Price Index or successor index. Adds subdivision(s) to Section 3 of Article XIII to provide that business inventories are exempt from property taxation. Fiscal impact on state or local governments: Reduction of state income tax revenues by estimated $4.9 billion in fiscal year 1980-81, $4.2 billion in 1981-82, and by unknown but increasing amounts thereafter. By operation of existing statutes, estimated reduction of $3 billion in state aid to local school districts and state payments to cities, counties or special districts commencing in 1980-81. Indeterminable but substantial reduction in other state expenditures in 1980-81 and thereafter.",,,60.83,39.17,0.0,,,,0,"taxation. income. initiative constitutional amendment. taxation. income. initiative constitutional amendment. adds section 26.5 to article xiii of the constitution to provide that taxes on or measured by income which are imposed under the personal income tax law or successor law shall not exceed 50 percent of those rates in effect for the 1978 taxable year. requires the legislature to provide a system for adjusting personal income tax brackets to reflect annual changes in the california consumer price index or successor index. adds subdivision(s) to section 3 of article xiii to provide that business inventories are exempt from property taxation. fiscal impact on state or local governments: reduction of state income tax revenues by estimated $4.9 billion in fiscal year 1980-81, $4.2 billion in 1981-82, and by unknown but increasing amounts thereafter. by operation of existing statutes, estimated reduction of $3 billion in state aid to local school districts and state payments to cities, counties or special districts commencing in 1980-81. indeterminable but substantial reduction in other state expenditures in 1980-81 and thereafter.",1980_Prop_9,Education,Education
1980,9,Taxation. Income. Initiative Constitutional Amendment.,"TAXATION. INCOME. INITIATIVE CONSTITUTIONAL AMENDMENT. Adds Section 26.5 to Article XIII of the Constitution to provide that taxes on or measured by income which are imposed under the Personal Income Tax Law or successor law shall not exceed 50 percent of those rates in effect for the 1978 taxable year. Requires the Legislature to provide a system for adjusting personal income tax brackets to reflect annual changes in the California Consumer Price Index or successor index. Adds subdivision(s) to Section 3 of Article XIII to provide that business inventories are exempt from property taxation. Fiscal impact on state or local governments: Reduction of state income tax revenues by estimated $4.9 billion in fiscal year 1980-81, $4.2 billion in 1981-82, and by unknown but increasing amounts thereafter. By operation of existing statutes, estimated reduction of $3 billion in state aid to local school districts and state payments to cities, counties or special districts commencing in 1980-81. Indeterminable but substantial reduction in other state expenditures in 1980-81 and thereafter.",,,60.83,39.17,0.0,,,,0,"taxation. income. initiative constitutional amendment. taxation. income. initiative constitutional amendment. adds section 26.5 to article xiii of the constitution to provide that taxes on or measured by income which are imposed under the personal income tax law or successor law shall not exceed 50 percent of those rates in effect for the 1978 taxable year. requires the legislature to provide a system for adjusting personal income tax brackets to reflect annual changes in the california consumer price index or successor index. adds subdivision(s) to section 3 of article xiii to provide that business inventories are exempt from property taxation. fiscal impact on state or local governments: reduction of state income tax revenues by estimated $4.9 billion in fiscal year 1980-81, $4.2 billion in 1981-82, and by unknown but increasing amounts thereafter. by operation of existing statutes, estimated reduction of $3 billion in state aid to local school districts and state payments to cities, counties or special districts commencing in 1980-81. indeterminable but substantial reduction in other state expenditures in 1980-81 and thereafter.",1980_Prop_9,Taxes,Income
1980,9,Taxation. Income. Initiative Constitutional Amendment.,"TAXATION. INCOME. INITIATIVE CONSTITUTIONAL AMENDMENT. Adds Section 26.5 to Article XIII of the Constitution to provide that taxes on or measured by income which are imposed under the Personal Income Tax Law or successor law shall not exceed 50 percent of those rates in effect for the 1978 taxable year. Requires the Legislature to provide a system for adjusting personal income tax brackets to reflect annual changes in the California Consumer Price Index or successor index. Adds subdivision(s) to Section 3 of Article XIII to provide that business inventories are exempt from property taxation. Fiscal impact on state or local governments: Reduction of state income tax revenues by estimated $4.9 billion in fiscal year 1980-81, $4.2 billion in 1981-82, and by unknown but increasing amounts thereafter. By operation of existing statutes, estimated reduction of $3 billion in state aid to local school districts and state payments to cities, counties or special districts commencing in 1980-81. Indeterminable but substantial reduction in other state expenditures in 1980-81 and thereafter.",,,60.83,39.17,0.0,,,,0,"taxation. income. initiative constitutional amendment. taxation. income. initiative constitutional amendment. adds section 26.5 to article xiii of the constitution to provide that taxes on or measured by income which are imposed under the personal income tax law or successor law shall not exceed 50 percent of those rates in effect for the 1978 taxable year. requires the legislature to provide a system for adjusting personal income tax brackets to reflect annual changes in the california consumer price index or successor index. adds subdivision(s) to section 3 of article xiii to provide that business inventories are exempt from property taxation. fiscal impact on state or local governments: reduction of state income tax revenues by estimated $4.9 billion in fiscal year 1980-81, $4.2 billion in 1981-82, and by unknown but increasing amounts thereafter. by operation of existing statutes, estimated reduction of $3 billion in state aid to local school districts and state payments to cities, counties or special districts commencing in 1980-81. indeterminable but substantial reduction in other state expenditures in 1980-81 and thereafter.",1980_Prop_9,Governance,Education
1980,1,Parklands Acquisition and Development Program.,"This act provides for meeting the urgent recreational requirements of the people of California through the acquisition, development, rehabilitation, and restoration of state and local parks, public beaches and other important coastal resources, recreation areas and recreational facilities, and historical resources pursuant to a bond issue of two hundred eighty-five million dollars ($285,000,000).",,,48.28,51.72,1.0,,,,1,"parklands acquisition and development program. this act provides for meeting the urgent recreational requirements of the people of california through the acquisition, development, rehabilitation, and restoration of state and local parks, public beaches and other important coastal resources, recreation areas and recreational facilities, and historical resources pursuant to a bond issue of two hundred eighty-five million dollars ($285,000,000).",1980_Prop_1,Bonds,Environment
1980,10,Smoking and No-Smoking Sections. Initiative Statute.,"Provides for designation of smoking and no-smoking sections in every enclosed public place, enclosed place of employment, enclosed educational facility, enclosed health facility and enclosed clinic. Does not limit smoking in outdoor areas or private residences. Establishes criteria for defining smoking and no-smoking sections. Requires signs be posted designating no-smoking areas. Violation is infraction punishable by $15 fine per violation. Provides no person may be taken into custody or subject to search for violation. Allows enactment of further legislation and regulations relating to smoking. Requires implementation standards be adopted by Department of Health Services.",,,53.44,46.56,0.0,,,,0,"smoking and no-smoking sections. initiative statute. provides for designation of smoking and no-smoking sections in every enclosed public place, enclosed place of employment, enclosed educational facility, enclosed health facility and enclosed clinic. does not limit smoking in outdoor areas or private residences. establishes criteria for defining smoking and no-smoking sections. requires signs be posted designating no-smoking areas. violation is infraction punishable by $15 fine per violation. provides no person may be taken into custody or subject to search for violation. allows enactment of further legislation and regulations relating to smoking. requires implementation standards be adopted by department of health services.",1980_Prop_10,Education,Education
1980,10,Smoking and No-Smoking Sections. Initiative Statute.,"Provides for designation of smoking and no-smoking sections in every enclosed public place, enclosed place of employment, enclosed educational facility, enclosed health facility and enclosed clinic. Does not limit smoking in outdoor areas or private residences. Establishes criteria for defining smoking and no-smoking sections. Requires signs be posted designating no-smoking areas. Violation is infraction punishable by $15 fine per violation. Provides no person may be taken into custody or subject to search for violation. Allows enactment of further legislation and regulations relating to smoking. Requires implementation standards be adopted by Department of Health Services.",,,53.44,46.56,0.0,,,,0,"smoking and no-smoking sections. initiative statute. provides for designation of smoking and no-smoking sections in every enclosed public place, enclosed place of employment, enclosed educational facility, enclosed health facility and enclosed clinic. does not limit smoking in outdoor areas or private residences. establishes criteria for defining smoking and no-smoking sections. requires signs be posted designating no-smoking areas. violation is infraction punishable by $15 fine per violation. provides no person may be taken into custody or subject to search for violation. allows enactment of further legislation and regulations relating to smoking. requires implementation standards be adopted by department of health services.",1980_Prop_10,Governance,Education
1980,11,Judges' Salaries,"JUDGES' SALARIES. LEGISLATIVE CONSTITUTIONAL AMENDMENT. Establishes base salary of a judge of a court of record, beginning on January 1, 1981, as equal the annual salary payable as of July 1, 1980, for that office had the judge been elected in 1978. Provides Legislature may prescribe salary increases during a term of office, may terminate prospective increases at any time during a term of office, but shall not reduce a salary during a term of office below the highest level paid during that term. Provides that laws setting the salaries of judges shall not constitute an obligation of contract. Fiscal impact on state and local governments: State salary and pension reductions of approximately $2.7 million from 1981 through 1986.",,,29.7,70.3,1.0,,,,1,"judges' salaries judges' salaries. legislative constitutional amendment. establishes base salary of a judge of a court of record, beginning on january 1, 1981, as equal the annual salary payable as of july 1, 1980, for that office had the judge been elected in 1978. provides legislature may prescribe salary increases during a term of office, may terminate prospective increases at any time during a term of office, but shall not reduce a salary during a term of office below the highest level paid during that term. provides that laws setting the salaries of judges shall not constitute an obligation of contract. fiscal impact on state and local governments: state salary and pension reductions of approximately $2.7 million from 1981 through 1986.",1980_Prop_11,Governance,Government Compensation
1980,2,Lake Tahoe Acquisitions Bond Act of 1980,"LAKE TAHOE ACQUISITIONS BOND ACT OF 1980. This act provides funding for the purchase of property in the Lake Tahoe Basin, which is necessary to prevent the environmental decline of this unique natural resource, to protect the waters of Lake Tahoe from further degradation, and to preserve the scenic and recreational values of Lake Tahoe. The amount provided by this act is eighty-five million dollars ($85,000,000).",,,51.16,48.84,0.0,,,,0,"lake tahoe acquisitions bond act of 1980 lake tahoe acquisitions bond act of 1980. this act provides funding for the purchase of property in the lake tahoe basin, which is necessary to prevent the environmental decline of this unique natural resource, to protect the waters of lake tahoe from further degradation, and to preserve the scenic and recreational values of lake tahoe. the amount provided by this act is eighty-five million dollars ($85,000,000).",1980_Prop_2,Bonds,Environment
